FIPS,Number,lon,lat,StreetAddress,City,State,ZipCode,LocationName,LocationType,CountyName
08059,943955,-105.2204724,39.7494183,1711 Illinois Street,Golden,CO,80401,National Earthquake Information Center,Science Center,Jefferson
08059,723401,-105.2201891,39.7495123,1711 Illinois St.,Golden,CO,80401,Geologic Hazards Science Center,Science Center,Jefferson
08059,742980,-105.1111364,39.7155061,Denver Federal Center,Denver,CO,80225-0046,Geosciences and Environmental Change Science Center,Science Center,Jefferson
08059,912001,-105.109846,39.638698,West 6th Avenue and Kipling Street,Denver,CO,80225,Denver Microbeam Laboratory,Laboratory,Jefferson
08059,915175,-105.1097852,39.6337519,101 S. Kipling Street,Denver,CO,80226,The Core Research Center,Other Facilities,Jefferson
08059,721854,-105.109746,39.709896,W 6th Ave Kipling St,Lakewood,CO,80225,SAS Program Office,Duty Station,Jefferson
08059,722177,-105.1096438,39.727185,West 6th Avenue and Kipling Street,Lakewood,CO,80225,"Geology, Geophysics, and Geochemistry Science Center",Science Center,Jefferson
08059,943974,-105.1096068,39.7185421,Kipling St,Denver,CO,80225,"USGS Water Mission Area - Denver, CO",Mission Office,Jefferson
08059,915336,-105.0865526,40.5709358,Colorado State University,Fort Collins,CO,80523,Colorado Cooperative Fish And Wildlife Research Unit,Coop Unit,Jefferson
08059,721689,-105.08137,39.70471,West 6th Avenue and Kipling Street,Lakewood,CO,80225,Colorado Water Science Center - Main Office,Science Center,Jefferson
08059,743733,-105.0811041,40.5603073,2150 Centre Ave,Fort Collins,CO,80526-8118,Molecular Ecology Lab (MEL),Laboratory,Jefferson
08059,718225,-105.025094,39.715721,"Box 25046, MS 914",Denver,CO,80225-0046,USGS Denver Library,Other Facilities,Jefferson
08059,909522,-105.025094,39.715721,Denver Federal Center,Denver,CO,80225-0046,"National Geospatial Technical Operations Center - Denver, CO",Science Center,Jefferson
08059,929314,-105.025094,39.715721,One Denver Federal Center,Denver,CO,80225,"CEGIS - Denver, CO",Other Facilities,Jefferson
08059,939402,-105.025078,39.716639,1 Denver Federal Center,Denver,CO,80225,NSF Ice Core Facility,Program Office,Jefferson
08059,723402,-104.984703,39.739154,Denver Federal Center,Denver,CO,80225-0046,Central Energy Resources Science Center,Science Center,Jefferson
08067,736107,-107.8733973,37.2362844,103 Sheppard Drive,Durango,CO,81303,Colorado Water Science Center - Durango Field Office,Field Station,La Plata
08069,963250,-105.082586,40.560501,Fort Collins Science Center (FORT),Fort Collins,CO,80526,John Wesley Powell Center for Earth System Analysis and Synthesis,Science Center,Larimer
08069,943741,-105.0811041,40.5603073,2150 Centre Avenue,Fort Collins,CO,80526,Fort Collins Science Center,Science Center,Larimer
08077,943747,-108.5750215,39.0722948,445 W Gunnison Ave,Grand Junction,CO,81501,Colorado Water Science Center - Western Colorado Office: Grand Junction,Science Center,Mesa
08101,943746,-104.605429,38.275386,201 E 9th St,Pueblo,CO,81003,"Colorado Water Science Center - Southeast Colorado Office: Pueblo, CO",Science Center,Pueblo
09003,721307,-72.648878,41.763695,101 Pitkin Street,East Hartford,CT,6108,New England Water Science Center - Connecticut Office,Science Center,Hartford
12001,718311,-82.4180272,29.7229388,7920 NW 71st St.,Gainesville,FL,32653,"Wetland and Aquatic Research Center - Gainesville, FL",Science Center,Alachua
12011,722133,-80.2385075,26.0844337,3205 College Avenue,Davie,FL,33314,"Wetland and Aquatic Research Center - Davie, FL",Duty Station,Broward
12011,941449,-80.2384968,26.0798004,3321 College Avenue,Davie,FL,33314,Caribbean-Florida Water Science Center Davie office,Field Station,Broward
12071,941240,-81.886644,26.59654,"1400 Colonial Boulevard, Suite 70",Fort Myers,FL,33907,Caribbean-Florida Water Science Center - Fort Myers office,Field Station,Lee
